benchmark              pass                 MDE                     MEE                     delta                    delta %
gdb-store              copyrename           0.20600949999999998     0.20600124999999997     -8.25000000001519e-06    -0.004004669687570326%
fibcall                copyrename           0.04754025              0.047538625             -1.6249999999981557e-06  -0.0034181561939580787%
dijkstra               fre                  0.154689375             0.154686625             -2.7499999999958114e-06  -0.001777756229214716%
jfdctint               copyrename           0.175339875             0.17533837500000002     -1.4999999999876223e-06  -0.0008554813900646514%
fasta                  copyprop             0.18121437499999998     0.181212875             -1.4999999999876223e-06  -0.0008277489023636356%
gdb-arrayidx           copyprop             0.0011105               0.0011105000000000002   2.168404344971009e-19    1.9526378612976218e-14%
bubblesort             mergephi             0.16046387499999998     0.160466625             2.750000000023567e-06    0.0017137813729249448%
fasta                  forwprop             0.18121125              0.181216                4.7499999999978115e-06   0.002621250060356524%
janne_complex          mergephi             0.028912375             0.028913374999999998    9.999999999975306e-07    0.003458726583331638%
gdb-store              esra                 0.206001625             0.20600912500000002     7.5000000000213785e-06   0.003640747979546947%
bsort100               ccp                  0.16069012500000002     0.160697625             7.499999999993623e-06    0.004667368327701296%
ludcmp                 fre                  0.18550200000000003     0.18551075              8.749999999974056e-06    0.004716930275670373%
nettle-arcfour         forwprop             0.15220725              0.15221675              9.500000000023379e-06    0.006241489810783244%
mergesort              mergephi             0.05443387500000001     0.054437875             3.9999999999901226e-06   0.007348365333149848%
sglib-rbtree           copyrename           0.165104                0.165119625             1.562499999999134e-05    0.00946373195076518%
gdb-bitfields          early_optimizations  0.022022749999999997    0.022025125             2.375000000002375e-06    0.010784302596189737%
sglib-rbtree           fre                  0.16510025              0.165123375             2.3124999999984963e-05   0.014006641419370936%
newlib-exp             copyrename           0.132238                0.13226212499999998     2.4124999999985963e-05   0.018243621349374586%
gdb-async              fre                  0.00408475              0.004085500000000001    7.500000000007501e-07    0.018360976803984335%
fasta                  fre                  0.1811935               0.18123375000000003     4.025000000001944e-05    0.02221382113597863%
sglib-arraysort        copyrename           0.231968125             0.23201975              5.162499999999959e-05    0.02225521286599165%
wikisort               copyrename           0.0011007499999999997   0.001101                2.5000000000025e-07      0.02271178741769249%
fibcall                forwprop             0.04753375              0.04754512500000001     1.1375000000007907e-05   0.02393036526680076%
bubblesort             copyrename           0.16044512500000002     0.16048537499999999     4.0249999999963926e-05   0.025086458687955723%
newlib-sqrt            copyrename           0.198302375             0.19835575000000003     5.3375000000022155e-05   0.026915966084633203%
stb_perlin             early_optimizations  0.0383375               0.03834825              1.0750000000003812e-05   0.028040430388011253%
sglib-listinsertsort   fre                  0.354447625             0.354548375             0.00010075000000003831   0.02842450982709739%
cnt                    copyprop             0.12446750000000001     0.12450425000000001     3.675000000000206e-05    0.02952577982204355%
lcdnum                 ccp                  0.018996375             0.019001999999999998    5.624999999998687e-06    0.029610912608319676%
st                     mergephi             0.048485375             0.0485                  1.4625000000004218e-05   0.03016373494069958%
levenshtein            copyprop             0.293379875             0.29347049999999997     9.062499999995532e-05    0.03088998521113806%
sglib-dllist           mergephi             0.16059475              0.16064575              5.099999999999549e-05    0.03175695344959626%
sglib-arraysort        ccp                  0.23195675000000002     0.232031125             7.437499999998765e-05    0.032064167134600585%
dijkstra               esra                 0.154663125             0.15471287499999997     4.974999999995955e-05    0.03216668485132416%
sglib-dllist           esra                 0.160594375             0.160646125             5.1749999999989305e-05   0.032224042716308895%
lms                    ccp                  0.46329425              0.46344799999999997     0.00015374999999995254   0.03318625258136757%
float_matmult          copyprop             0.20782350000000002     0.20789387499999998     7.037499999995589e-05    0.033862869213518144%
crc32                  copyrename           0.172107875             0.17216625000000002     5.8375000000027155e-05   0.03391768098933715%
insertsort             ccp                  0.138343                0.138390125             4.7125000000008965e-05   0.03406388469240147%
ctl-string             copyrename           0.13328950000000003     0.133335875             4.637499999995964e-05    0.03479268809618134%
prime                  copyrename           0.097045125             0.097079375             3.424999999999956e-05    0.03529285989378607%
sglib-hashtable        fre                  0.13512775              0.13518487499999998     5.712499999999121e-05    0.0422748103183774%
edn                    ccp                  0.14069125              0.14075125              6.0000000000004494e-05   0.042646575391152255%
recursion              copyrename           0.261461375             0.261573125             0.00011175000000002155   0.042740538635973116%
nettle-arcfour         fre                  0.15217875              0.15224525              6.649999999999712e-05    0.04369861100843391%
wikisort               ccp                  0.0011006249999999998   0.0011011249999999999   5.000000000000664e-07    0.04542873367405487%
slre                   fre                  0.26906175000000004     0.26918475000000003     0.00012299999999998423   0.04571441314121543%
strstr                 copyrename           0.16481412499999998     0.164890375             7.625000000002768e-05    0.04626423857786928%
bubblesort             einline              0.16042775              0.16050275000000003     7.50000000000195e-05     0.046750016752101484%
ndes                   ccp                  0.18038225              0.18046875              8.650000000001712e-05    0.04795372050188814%
minver                 fre                  0.19262837500000002     0.19272162499999998     9.324999999996142e-05    0.04840927511326481%
st                     einline              0.04848075              0.048504625             2.387499999999959e-05    0.049246350355552644%
duff                   fre                  0.14749525000000002     0.1475715               7.624999999997217e-05    0.05169658005933898%
ctl-vector             copyrename           0.220087875             0.220204375             0.00011650000000001937   0.05293340216948315%
float_matmult          ccp                  0.20780312499999998     0.20791425000000002     0.00011112500000004522   0.053476096666036775%
gdb-constvars          fre                  0.034718125             0.034736875             1.8749999999997935e-05   0.05400637275197878%
strstr                 fre                  0.16480299999999998     0.1649015               9.850000000002912e-05    0.05976832946003964%
sglib-hashtable        ccp                  0.1351155               0.13519712499999997     8.162499999997408e-05    0.06041127775863915%
sglib-queue            copyrename           0.182273375             0.182384625             0.00011125000000000718   0.06103469582433923%
gdb-async              early_optimizations  0.004083874999999999    0.004086375             2.5000000000007655e-06   0.06121636925715812%
crc32                  ccp                  0.172084                0.17219012500000003     0.00010612500000004021   0.06167046326215118%
cubic                  ealias               0.0022248750000000003   0.00222625              1.3749999999996404e-06   0.06180122478789326%
