benchmark             pass                 U       p
dijkstra              einline              904.0   0.03487056124978927
dijkstra              eipa_sra             1013.0  0.15508229750692448
dijkstra              emutls               1058.0  0.2466298779396333
dijkstra              esra                 1124.0  0.420149976332755
dijkstra              fnsplit              852.0   0.014095250162465631
dijkstra              forwprop             823.0   0.008039302350838454
dijkstra              fre                  936.0   0.057156077428226044
dijkstra              increase_alignment   457.0   1.7994141795107603e-07
dijkstra              inline               955.0   0.07495078228201511
dijkstra              inline_param         854.0   0.4679668916799594
dijkstra              local-pure-const     836.0   0.010392501569734178
dijkstra              mergephi             922.0   0.04631438390217624
dijkstra              profile              1125.0  0.4230166142916768
dijkstra              profile_estimate     853.0   0.46460342552982903
dijkstra              release_ssa          963.0   0.0835997909468496
dijkstra              switchconv           999.0   0.13189809016052928
dijkstra              tailr                1071.0  0.2776374972630553
dijkstra              tmipa                798.0   0.004794377678807222
dijkstra              whole-program        1070.0  0.2751863199726272
dtoa                  ccp                  518.0   1.7248178634398148e-06
dtoa                  cddce                883.0   0.024564606589814127
dtoa                  cdtor                1086.0  0.31562800681510284
dtoa                  copyprop             1128.0  0.4316404242309396
dtoa                  copyrename           1031.0  0.18862370423765934
dtoa                  cp                   1085.0  0.3130273449393093
dtoa                  devirt               1150.0  0.49561513629399184
dtoa                  ealias               1110.0  0.3805271349970258
dtoa                  early_optimizations  547.0   4.721447842020646e-06
dtoa                  ehcleanup            1063.0  0.25833234593638554
dtoa                  einline              876.0   0.021755981095640864
dtoa                  eipa_sra             966.0   0.087029680371498
dtoa                  emutls               1122.0  0.4144295367508583
dtoa                  esra                 726.0   0.0009107029824870802
dtoa                  fnsplit              982.0   0.10711214790206186
dtoa                  forwprop             1059.0  0.24894743116669138
dtoa                  fre                  903.0   0.034309813449045046
dtoa                  increase_alignment   809.0   0.006041462649743436
dtoa                  inline               1073.0  0.28257161849097157
dtoa                  inline_param         756.0   0.18152177717748408
dtoa                  local-pure-const     1135.0  0.45188278793665715
dtoa                  mergephi             805.0   0.005558114377430621
dtoa                  profile              1140.0  0.4664217795031791
dtoa                  profile_estimate     741.0   0.14998465383876003
dtoa                  release_ssa          1082.0  0.3052813972353643
dtoa                  switchconv           824.0   0.00820204390493481
dtoa                  tailr                1019.0  0.16579631373847464
dtoa                  tmipa                1033.0  0.19260845857458997
dtoa                  whole-program        1059.0  0.24894743116669138
duff                  ccp                  1090.0  0.32612118921998934
duff                  cddce                907.0   0.036598092409321284
duff                  cdtor                1097.0  0.34481552025061735
duff                  copyprop             879.0   0.02292459176819899
duff                  copyrename           1013.0  0.15508229750692448
duff                  cp                   1095.0  0.33943299540119276
duff                  devirt               1148.0  0.4897695668702473
duff                  ealias               879.0   0.02292459176819899
duff                  early_optimizations  412.0   3.000317966856281e-08
duff                  ehcleanup            1105.0  0.3666516249143129
duff                  einline              957.0   0.07704623179391887
duff                  eipa_sra             984.0   0.10984027809875813
duff                  emutls               1128.0  0.4316404242309396
duff                  esra                 1144.0  0.47808627156346584
duff                  fnsplit              861.0   0.01664051932671822
duff                  forwprop             910.0   0.03839501655060607
duff                  fre                  955.0   0.07495078228201511
duff                  increase_alignment   652.0   0.00012603329589576636
duff                  inline               992.0   0.12125078509630532
duff                  inline_param         796.0   0.2839550103859816
duff                  local-pure-const     834.0   0.009995348051827571
duff                  mergephi             986.0   0.11261792376409274
duff                  profile              1113.0  0.3889281465988047
duff                  profile_estimate     734.0   0.13659897038963392
duff                  release_ssa          914.0   0.04090211782214368
duff                  switchconv           1141.0  0.4693355934311513
duff                  tailr                1138.0  0.46059970279355245
duff                  tmipa                719.0   0.000764296176872694
duff                  whole-program        984.0   0.10984027809875813
edn                   ccp                  1072.0  0.28009929235555187
edn                   cddce                842.0   0.01166760806340095
edn                   cdtor                1140.0  0.4664217795031791
edn                   copyprop             815.0   0.006836385535101733
edn                   copyrename           945.0   0.06512007627462142
edn                   cp                   1067.0  0.26789733978379465
edn                   devirt               1082.0  0.3052813972353643
edn                   ealias               1142.0  0.47225105059019407
edn                   early_optimizations  733.0   0.001082494578367955
edn                   ehcleanup            950.0   0.06990252396039197
edn                   einline              1026.0  0.17888632969828766
edn                   eipa_sra             1031.0  0.18862370423765934
edn                   emutls               1120.0  0.40872719026797394
edn                   esra                 1095.0  0.33943299540119276
edn                   fnsplit              783.0   0.0034645613711825713
edn                   forwprop             851.0   0.013834323257556595
edn                   fre                  1084.0  0.3104359525463636
edn                   increase_alignment   536.0   3.2389965963504215e-06
edn                   inline               913.0   0.04026321812619561
edn                   inline_param         809.0   0.3223503799705397
edn                   local-pure-const     712.0   0.0006398509535519568
edn                   mergephi             1030.0  0.18665052709217128
edn                   profile              1133.0  0.4460841095264599
edn                   profile_estimate     614.0   0.017382980134709757
edn                   release_ssa          1041.0  0.20905542088585255
edn                   switchconv           1097.0  0.34481552025061735
edn                   tailr                1140.0  0.4664217795031791
edn                   tmipa                609.0   3.515428417986984e-05
edn                   whole-program        1017.0  0.16217301446818366
expint                ccp                  1053.0  0.23521747719989233
expint                cddce                727.0   0.0009336052210346814
expint                cdtor                1128.0  0.4316404242309396
expint                copyprop             991.0   0.11978053990285198
expint                copyrename           1151.0  0.4985383526044901
expint                cp                   1069.0  0.27274584573148425
expint                devirt               1127.0  0.4287619870972942
expint                ealias               1102.0  0.3584078979360158
expint                early_optimizations  921.0   0.04560792679690729
expint                ehcleanup            736.0   0.001164832952136142
expint                einline              973.0   0.09543972183548749
expint                eipa_sra             1043.0  0.21329283995601267
expint                emutls               1070.0  0.2751863199726272
expint                esra                 1116.0  0.3973814183244456
expint                fnsplit              623.0   5.3828672515335176e-05
expint                forwprop             1068.0  0.27031615826777466
expint                fre                  1064.0  0.26070689721295576
expint                increase_alignment   486.0   5.398205458555507e-07
expint                inline               996.0   0.1272584999875645
expint                inline_param         675.0   0.055362871444754796
expint                local-pure-const     1117.0  0.40021013689897966
expint                mergephi             1073.0  0.28257161849097157
expint                profile              1094.0  0.3367538829526438
expint                profile_estimate     684.0   0.06440785329198878
expint                release_ssa          1003.0  0.13826378006942092
expint                switchconv           1048.0  0.22410288193316785
expint                tailr                1146.0  0.48392619410484433
expint                tmipa                968.0   0.08937398043365113
expint                whole-program        881.0   0.023732690220702703
fac                   ccp                  1086.0  0.31562800681510284
fac                   cddce                961.0   0.08137027669574703
fac                   cdtor                1107.0  0.37218209396632296
fac                   copyprop             1098.0  0.3475186914472465
fac                   copyrename           1048.0  0.22410288193316785
fac                   cp                   1146.0  0.48392619410484433
fac                   devirt               1106.0  0.36941348160673276
fac                   ealias               1131.0  0.44029693961536276
fac                   early_optimizations  741.0   0.0013149002105664587
fac                   ehcleanup            1101.0  0.3556743676032139
fac                   einline              851.0   0.013834323257556595
fac                   eipa_sra             1045.0  0.21757991973861335
fac                   emutls               1148.0  0.4897695668702473
fac                   esra                 1111.0  0.38332143490569737
fac                   fnsplit              1054.0  0.23747636629112667
fac                   forwprop             1079.0  0.2976216801535678
fac                   fre                  1081.0  0.3027184413513543
fac                   increase_alignment   986.0   0.11261792376409274
fac                   inline               1089.0  0.32348453275695455
fac                   inline_param         832.0   0.3949161572493035
fac                   local-pure-const     1058.0  0.2466298779396333
fac                   mergephi             1108.0  0.37495732950058125
fac                   profile              1132.0  0.4431890097338998
fac                   profile_estimate     826.0   0.3755096287921944
fac                   release_ssa          1097.0  0.34481552025061735
fac                   switchconv           1096.0  0.3421202478311214
fac                   tailr                0.0     1.617306277737752e-17
fac                   tmipa                1010.0  0.1499006442600916
fac                   whole-program        1071.0  0.2776374972630553
fasta                 ccp                  1054.0  0.23747636629112667
fasta                 cddce                0.0     1.617306277737752e-17
fasta                 cdtor                1128.0  0.4316404242309396
fasta                 copyprop             1112.0  0.38612181792098604
fasta                 copyrename           1096.0  0.3421202478311214
fasta                 cp                   1098.0  0.3475186914472465
fasta                 devirt               1104.0  0.36389665533369975
fasta                 ealias               1132.0  0.4431890097338998
fasta                 early_optimizations  812.0   0.006428059151217498
fasta                 ehcleanup            1032.0  0.19060968946053153
fasta                 einline              1106.0  0.36941348160673276
fasta                 eipa_sra             1132.0  0.4431890097338998
fasta                 emutls               1134.0  0.4489820865589499
fasta                 esra                 1116.0  0.3973814183244456
fasta                 fnsplit              950.0   0.06990252396039197
fasta                 forwprop             998.0   0.1303387685336473
fasta                 fre                  1116.0  0.3973814183244456
fasta                 increase_alignment   802.0   0.005218468591288514
fasta                 inline               1066.0  0.26548947094956177
fasta                 inline_param         853.0   0.46460342552982903
fasta                 local-pure-const     1030.0  0.18665052709217128
fasta                 mergephi             1096.0  0.3421202478311214
